level,list_-5.0,list_-4.5,list_-4.0,list_-3.5,list_-3.0,list_-2.5,list_-2.0,list_-1.5,list_-1.0,list_-0.5,list_0.0,list_0.5,list_1.0,list_1.5,list_2.0,list_2.5,list_3.0,list_3.5,list_4.0,list_4.5,list_5.0
126,3,2.43,1.9,1.43,1.1,0.73,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.73,1.1,1.43,1.9,2.43,3
127,3,2.435,1.9,1.435,1.1,0.735,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.735,1.1,1.435,1.9,2.435,3
128,3,2.44,1.9,1.44,1.1,0.74,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.74,1.1,1.44,1.9,2.44,3
129,3,2.445,1.9,1.445,1.1,0.745,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.745,1.1,1.445,1.9,2.445,3
130,3,2.45,1.9,1.45,1.1,0.75,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.75,1.1,1.45,1.9,2.45,3
131,3,2.455,1.9,1.455,1.1,0.755,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.755,1.1,1.455,1.9,2.455,3
132,3,2.46,1.9,1.46,1.1,0.76,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.76,1.1,1.46,1.9,2.46,3
133,3,2.465,1.9,1.465,1.1,0.765,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.765,1.1,1.465,1.9,2.465,3
134,3,2.47,1.9,1.47,1.1,0.77,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.77,1.1,1.47,1.9,2.47,3
135,3,2.475,1.9,1.475,1.1,0.775,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.775,1.1,1.475,1.9,2.475,3
136,3,2.48,1.9,1.48,1.1,0.78,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.78,1.1,1.48,1.9,2.48,3
137,3,2.485,1.9,1.485,1.1,0.785,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.785,1.1,1.485,1.9,2.485,3
138,3,2.49,1.9,1.49,1.1,0.79,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.79,1.1,1.49,1.9,2.49,3
139,3,2.495,1.9,1.495,1.1,0.795,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.795,1.1,1.495,1.9,2.495,3
140,3,2.5,1.9,1.5,1.1,0.8,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.8,1.1,1.5,1.9,2.5,3
141,3.005,2.5,1.905,1.5,1.1,0.8,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.8,1.1,1.5,1.905,2.5,3.005
142,3.01,2.5,1.91,1.5,1.1,0.8,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.8,1.1,1.5,1.91,2.5,3.01
143,3.015,2.5,1.915,1.5,1.1,0.8,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.8,1.1,1.5,1.915,2.5,3.015
144,3.02,2.5,1.92,1.5,1.1,0.8,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.8,1.1,1.5,1.92,2.5,3.02
145,3.025,2.5,1.925,1.5,1.1,0.8,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.8,1.1,1.5,1.925,2.5,3.025
146,3.03,2.5,1.93,1.5,1.1,0.8,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.8,1.1,1.5,1.93,2.5,3.03
147,3.035,2.5,1.935,1.5,1.1,0.8,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.8,1.1,1.5,1.935,2.5,3.035
148,3.04,2.5,1.94,1.5,1.1,0.8,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.8,1.1,1.5,1.94,2.5,3.04
149,3.045,2.5,1.945,1.5,1.1,0.8,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.8,1.1,1.5,1.945,2.5,3.045
150,3.05,2.5,1.95,1.5,1.1,0.8,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.8,1.1,1.5,1.95,2.5,3.05
151,3.055,2.5,1.955,1.5,1.1,0.8,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.8,1.1,1.5,1.955,2.5,3.055
152,3.06,2.5,1.96,1.5,1.1,0.8,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.8,1.1,1.5,1.96,2.5,3.06
153,3.065,2.5,1.965,1.5,1.1,0.8,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.8,1.1,1.5,1.965,2.5,3.065
154,3.07,2.5,1.97,1.5,1.1,0.8,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.8,1.1,1.5,1.97,2.5,3.07
155,3.075,2.5,1.975,1.5,1.1,0.8,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.8,1.1,1.5,1.975,2.5,3.075
156,3.08,2.5,1.98,1.5,1.1,0.8,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.8,1.1,1.5,1.98,2.5,3.08
157,3.085,2.5,1.985,1.5,1.1,0.8,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.8,1.1,1.5,1.985,2.5,3.085
158,3.09,2.5,1.99,1.5,1.1,0.8,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.8,1.1,1.5,1.99,2.5,3.09
159,3.095,2.5,1.995,1.5,1.1,0.8,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.8,1.1,1.5,1.995,2.5,3.095
160,3.1,2.5,2,1.5,1.1,0.8,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.8,1.1,1.5,2,2.5,3.1
161,3.105,2.505,2,1.505,1.1,0.8,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.8,1.1,1.505,2,2.505,3.105
162,3.11,2.51,2,1.51,1.1,0.8,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.8,1.1,1.51,2,2.51,3.11
163,3.115,2.515,2,1.515,1.1,0.8,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.8,1.1,1.515,2,2.515,3.115
